Date,Price,Open,High,Low,Vol.,Change %
12/29/2024,"2,639.12","2,620.30","2,665.47","2,595.90",,0.73%
12/22/2024,"2,620.00","2,622.24","2,639.40","2,607.97",,-0.03%
12/15/2024,"2,620.77","2,649.10","2,664.83","2,583.49",,-1.04%
12/08/2024,"2,648.39","2,635.52","2,726.31","2,627.47",,0.59%
12/01/2024,"2,632.91","2,653.82","2,657.36","2,613.57",121.32K,-0.78%
11/24/2024,"2,653.55","2,715.10","2,721.43","2,605.29",,-2.18%
11/17/2024,"2,712.55","2,561.59","2,712.91","2,561.59",,5.91%
11/10/2024,"2,561.24","2,684.81","2,686.51","2,536.91",,-4.57%
11/03/2024,"2,683.77","2,734.10","2,750.06","2,643.50",,-1.88%
10/27/2024,"2,735.16","2,734.84","2,790.41","2,724.72",,-0.46%
10/20/2024,"2,747.69","2,721.71","2,758.53","2,708.79",,1.01%
10/13/2024,"2,720.25","2,657.21","2,722.87","2,638.31",,2.42%
10/06/2024,"2,656.00","2,651.20","2,661.55","2,604.15",,0.14%
09/29/2024,"2,652.25","2,658.30","2,673.20","2,624.78",,-0.22%
09/22/2024,"2,657.97","2,621.81","2,685.96","2,613.60",,1.37%
09/15/2024,"2,621.96","2,578.06","2,625.79","2,546.98",,1.76%
09/08/2024,"2,576.50","2,497.32","2,586.18","2,485.60",,3.18%
09/01/2024,"2,497.03","2,502.74","2,529.30","2,471.95",,-0.24%
08/25/2024,"2,503.03","2,511.43","2,529.15","2,493.66",,-0.36%
08/18/2024,"2,512.07","2,508.40","2,532.05","2,470.86",,0.19%
08/11/2024,"2,507.28","2,431.21","2,509.89","2,423.84",,3.14%
08/04/2024,"2,430.93","2,443.27","2,458.80","2,364.40",,-0.51%
07/28/2024,"2,443.29","2,387.20","2,477.72","2,369.77",,2.42%
07/21/2024,"2,385.57","2,400.41","2,432.05","2,353.19",,-0.63%
07/14/2024,"2,400.79","2,409.50","2,483.78","2,393.92",,-0.43%
07/07/2024,"2,411.27","2,391.77","2,424.62","2,349.59",,0.83%
06/30/2024,"2,391.46","2,326.46","2,393.04","2,318.55",,2.83%
06/23/2024,"2,325.71","2,321.60","2,339.79","2,293.70",,0.23%
06/16/2024,"2,320.34","2,332.20","2,368.85","2,306.63",,-0.52%
06/09/2024,"2,332.52","2,296.00","2,341.70","2,287.31",,1.74%
06/02/2024,"2,292.71","2,329.61","2,387.85","2,286.77",,-1.47%
05/26/2024,"2,326.97","2,334.50","2,364.12","2,321.64",,-0.29%
05/19/2024,"2,333.76","2,415.02","2,450.13","2,325.40",,-3.36%
05/12/2024,"2,414.89","2,362.70","2,422.87","2,332.34",,2.32%
05/05/2024,"2,360.14","2,302.50","2,378.45","2,291.79",,2.55%
04/28/2024,"2,301.56","2,337.50","2,346.85","2,277.47",,-1.55%
04/21/2024,"2,337.72","2,388.20","2,388.72","2,291.40",,-2.21%
04/14/2024,"2,390.45","2,343.86","2,417.79","2,324.59",,2.01%
04/07/2024,"2,343.43","2,322.00","2,431.53","2,302.86",,0.60%
03/31/2024,"2,329.50","2,239.59","2,330.34","2,228.54",,4.35%
03/24/2024,"2,232.38","2,165.79","2,235.90","2,163.50",,3.15%
03/17/2024,"2,164.15","2,156.00","2,222.90","2,146.05",,0.40%
03/10/2024,"2,155.54","2,177.71","2,189.04","2,150.59",,-1.01%
03/03/2024,"2,177.51","2,082.09","2,195.20","2,079.45",,4.52%
02/25/2024,"2,083.39","2,034.49","2,088.40","2,024.56",,2.34%
02/18/2024,"2,035.72","2,013.16","2,041.43","2,011.57",,1.12%
02/11/2024,"2,013.10","2,024.53","2,030.05","1,984.30",,-0.55%
02/04/2024,"2,024.16","2,039.91","2,044.65","2,014.40",,-0.71%
01/28/2024,"2,038.59","2,019.40","2,065.42","2,017.38",,1.00%
01/21/2024,"2,018.34","2,029.90","2,037.92","2,010.15",,-0.53%
01/14/2024,"2,029.09","2,048.09","2,059.25","2,001.91",,-0.96%
01/07/2024,"2,048.72","2,044.08","2,062.35","2,013.32",,0.16%
12/31/2023,"2,045.50","2,062.90","2,079.02","2,024.49",,-0.83%
12/24/2023,"2,062.59","2,055.73","2,088.54","2,053.59",,0.47%
12/17/2023,"2,052.98","2,020.09","2,070.65","2,015.99",,1.72%
12/10/2023,"2,018.19","2,003.60","2,047.98","1,973.09",,0.74%
12/03/2023,"2,003.39","2,071.25","2,135.90","1,994.74",,-3.26%
11/26/2023,"2,070.90","2,002.78","2,075.34","2,000.67",,3.44%
11/19/2023,"2,001.97","1,980.39","2,007.52","1,965.20",,1.11%
11/12/2023,"1,980.01","1,937.05","1,993.94","1,931.73",,2.23%
11/05/2023,"1,936.79","1,992.30","1,993.30","1,933.18",,-2.78%
10/29/2023,"1,992.27","2,004.80","2,007.82","1,969.90",,-0.67%
10/22/2023,"2,005.78","1,972.90","2,009.48","1,953.50",,1.25%
10/15/2023,"1,981.04","1,929.30","1,997.27","1,907.65",,2.55%
10/08/2023,"1,931.70","1,832.74","1,933.76","1,832.63",,5.43%
10/01/2023,"1,832.26","1,848.13","1,849.06","1,810.10",,-0.87%
09/24/2023,"1,848.31","1,925.24","1,927.26","1,846.34",,-3.98%
09/17/2023,"1,924.99","1,924.19","1,947.80","1,913.40",,0.07%
09/10/2023,"1,923.57","1,919.16","1,930.94","1,900.95",,0.30%
09/03/2023,"1,917.81","1,940.49","1,946.42","1,914.80",,-1.08%
08/27/2023,"1,938.80","1,916.09","1,953.44","1,912.83",,1.27%
08/20/2023,"1,914.53","1,889.40","1,923.94","1,884.50",,1.39%
08/13/2023,"1,888.19","1,913.67","1,916.55","1,884.50",,-1.31%
08/06/2023,"1,913.32","1,942.59","1,946.81","1,910.94",,-1.46%
07/30/2023,"1,941.62","1,959.49","1,972.44","1,929.40",,-0.90%
07/23/2023,"1,959.20","1,962.09","1,982.24","1,942.61",,-0.05%
07/16/2023,"1,960.23","1,954.90","1,987.59","1,945.82",,0.27%
07/09/2023,"1,954.93","1,925.19","1,963.84","1,912.68",,1.59%
07/02/2023,"1,924.28","1,919.40","1,935.17","1,902.68",,0.25%
06/25/2023,"1,919.57","1,924.30","1,933.48","1,893.01",,-0.09%
06/18/2023,"1,921.36","1,957.99","1,958.93","1,910.24",,-1.84%
06/11/2023,"1,957.36","1,960.25","1,970.74","1,925.30",,-0.17%
06/04/2023,"1,960.60","1,947.59","1,973.09","1,938.14",,0.67%
05/28/2023,"1,947.63","1,944.09","1,983.52","1,932.08",,0.07%
05/21/2023,"1,946.33","1,977.80","1,985.30","1,936.84",,-1.53%
05/14/2023,"1,976.56","2,011.72","2,022.20","1,951.97",,-1.72%
05/07/2023,"2,011.15","2,015.95","2,048.22","2,001.05",,-0.27%
04/30/2023,"2,016.54","1,991.34","2,073.29","1,977.05",,1.35%
04/23/2023,"1,989.65","1,981.34","2,009.51","1,973.74",,0.34%
04/16/2023,"1,982.89","2,001.85","2,015.13","1,969.28",,-1.01%
04/09/2023,"2,003.04","2,008.30","2,048.84","1,981.59",,-0.25%
04/02/2023,"2,008.02","1,970.84","2,032.20","1,949.82",,2.04%
03/26/2023,"1,967.90","1,977.66","1,987.84","1,943.68",,-0.47%
03/19/2023,"1,977.22","1,987.59","2,010.19","1,934.33",,-0.54%
03/12/2023,"1,987.93","1,869.01","1,989.80","1,869.01",,6.43%
03/05/2023,"1,867.83","1,855.35","1,870.28","1,809.40",,0.69%
02/26/2023,"1,854.97","1,812.01","1,856.47","1,804.65",,2.44%
02/19/2023,"1,810.81","1,842.73","1,847.86","1,808.91",,-1.67%
02/12/2023,"1,841.59","1,865.69","1,871.03","1,818.34",,-1.24%
02/05/2023,"1,864.67","1,865.17","1,890.69","1,852.69",,-0.05%
01/29/2023,"1,865.53","1,928.40","1,959.77","1,861.41",,-3.21%
01/22/2023,"1,927.34","1,926.20","1,949.27","1,911.44",,0.04%
01/15/2023,"1,926.57","1,920.39","1,937.72","1,896.56",,0.33%
01/08/2023,"1,920.21","1,865.45","1,922.24","1,864.59",,2.92%
01/01/2023,"1,865.71","1,823.85","1,870.37","1,823.85",,2.26%
12/25/2022,"1,824.40","1,798.57","1,833.39","1,796.16",,1.47%
12/18/2022,"1,797.91","1,793.13","1,824.39","1,783.48",,0.31%
12/11/2022,"1,792.34","1,797.35","1,824.87","1,772.00",,-0.24%
12/04/2022,"1,796.63","1,797.92","1,810.33","1,765.32",,-0.07%
